+ Processor: 1 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                137612061      87.1139        1336119542     24.4125   
+ Load-Misses:             20355831       12.8861        4136983327     75.5875   
+ Load-Total Accesses:     157967892      100            5473102869     100       

+ Store-Hits               129063498      95.9398        1290634792     53.4122   
+ Store-Misses:            5461972        4.06018        1125732793     46.5878   
+ Store-Total Accesses:    134525470      100            2416367585     100       

+ Total-Hits:              266675559      91.1732        2626754334     33.2944   
+ Total-Misses:            25817803       8.8268         5262716120     66.7056   

+ Estimated Cost:          292493362      100            7889470454     100       


+ Processor: 2 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                143414296      84.5875        1372797748     20.8565   
+ Load-Misses:             26131153       15.4125        5209315563     79.1435   
+ Load-Total Accesses:     169545449      100            6582113311     100       

+ Store-Hits               130227768      95.6781        1302277588     51.766    
+ Store-Misses:            5882492        4.32186        1213421238     48.234    
+ Store-Total Accesses:    136110260      100            2515698826     100       

+ Total-Hits:              273642064      89.5262        2675075336     29.4035   
+ Total-Misses:            32013645       10.4738        6422736801     70.5965   

+ Estimated Cost:          305655709      100            9097812137     100       


+ Processor: 3 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                143797659      84.5908        1091775818     17.3748   
+ Load-Misses:             26194450       15.4092        5191890841     82.6252   
+ Load-Total Accesses:     169992109      100            6283666659     100       

+ Store-Hits               131069854      95.8333        1034018576     47.0203   
+ Store-Misses:            5698714        4.16668        1165070352     52.9797   
+ Store-Total Accesses:    136768568      100            2199088928     100       

+ Total-Hits:              274867513      89.6032        2125794394     25.0602   
+ Total-Misses:            31893164       10.3968        6356961193     74.9398   

+ Estimated Cost:          306760677      100            8482755587     100       


Memory Stats:
Addr 	 Loads 	 Stores 	 LHIS 	 LMISS 	 SHIT 	 SMISS
0x00007f3586087e90	0	2	0	0	2	0	2
0x00007f3585db7e46	1	0	1	0	0	0	1
0x00007f3585db7e47	1	0	1	0	0	0	1
0x00007f3585db7e48	1	0	1	0	0	0	1
0x00007f3585db7e49	1	0	1	0	0	0	1
0x00007f3585db7e4a	1	0	1	0	0	0	1
0x00007f3585db7e4b	1	0	1	0	0	0	1
0x00007f3585db7e4c	1	0	1	0	0	0	1
0x00007f3585db7e4d	1	0	1	0	0	0	1
0x00007f3586087e98	0	2	0	0	2	0	2
0x00007f3585db7e4e	1	0	1	0	0	0	1
0x00007f3585db7e4f	1	0	1	0	0	0	1
0x00007f3585db7e50	1	0	1	0	0	0	1
0x00007f3585db7e51	1	0	1	0	0	0	1
0x00007f3585db7e52	1	0	1	0	0	0	1
0x00007f3585db7e53	1	0	1	0	0	0	1
0x00007f3585db7e54	1	0	1	0	0	0	1
0x00007f3585db7e55	1	0	1	0	0	0	1
0x00007f3586087ea0	0	2	0	0	2	0	2
0x00007f3585db7e56	1	0	1	0	0	0	1
0x00007f3585db7e57	1	0	1	0	0	0	1
0x00007f3585db7e58	1	0	1	0	0	0	1
0x00007f3586087ea8	0	2	0	0	2	0	2
0x00007f3586087eb0	0	2	0	0	2	0	2
0x00007f3586087eb8	0	2	0	0	2	0	2
0x00007f3586087ec0	0	2	0	0	2	0	2
0x00007f3586087ec8	0	2	0	0	2	0	2
0x00007f3586087ed0	0	2	0	0	2	0	2
0x00007f3585d87e88	2	0	2	0	0	0	2
0x00007f3586087ed8	0	2	0	0	2	0	2
0x00007f3585d87e8c	4	0	4	0	0	0	4
0x00007f3585d87e8d	1	0	1	0	0	0	1
0x00007f3585d87e8e	1	0	1	0	0	0	1
0x00007f3585d87e90	2	0	2	0	0	0	2
0x00007f3586087ee0	0	2	0	0	2	0	2
0x00007f3586087ee8	0	2	0	0	2	0	2
0x00007f3586087ef0	0	2	0	0	2	0	2
0x00007f3586087ef8	0	2	0	0	2	0	2
0x00007f3586087f00	0	2	0	0	2	0	2
0x00007f3586087f08	0	2	0	0	2	0	2
0x00007f3585db7ec2	1	0	1	0	0	0	1
0x00007f3585db7ec3	1	0	1	0	0	0	1
0x00007f3585db7ec4	1	0	1	0	0	0	1
0x00007f3585db7ec5	1	0	1	0	0	0	1
0x00007f3586087f10	0	2	0	0	2	0	2
0x00007f3585db7ec6	1	0	1	0	0	0	1
0x00007f3585db7ec7	1	0	1	0	0	0	1
0x00007f3585db7ec8	1	0	1	0	0	0	1
0x00007f3585db7ec9	1	0	1	0	0	0	1
0x00007f3585db7eca	1	0	1	0	0	0	1
0x00007f3585db7ecb	1	0	1	0	0	0	1
0x00007f3585db7ecc	1	0	1	0	0	0	1
0x00007f3585db7ecd	1	0	1	0	0	0	1
0x00007f3586087f18	0	2	0	0	2	0	2
0x00007f3585db7ece	1	0	1	0	0	0	1
0x00007f3585db7ecf	1	0	1	0	0	0	1
0x00007f3585db7ed0	1	0	1	0	0	0	1
0x00007f3585db7ed1	1	0	1	0	0	0	1
0x00007f3585db7ed2	1	0	1	0	0	0	1
0x00007f3585db7ed3	1	0	1	0	0	0	1
0x00007f3585db7ed4	1	0	1	0	0	0	1
0x00007f3585db7ed5	1	0	1	0	0	0	1
0x00007f3586087f20	0	2	0	0	2	0	2
0x00007f3585db7ed6	1	0	1	0	0	0	1
0x00007f3585db7ed7	1	0	1	0	0	0	1
0x00007f3585db7ed8	1	0	1	0	0	0	1
0x00007f3585db7ed9	1	0	1	0	0	0	1
0x00007f3585db7eda	1	0	1	0	0	0	1
0x00007f3585db7edb	1	0	1	0	0	0	1
0x00007f3585db7edc	1	0	1	0	0	0	1
0x00007f3585db7edd	1	0	1	0	0	0	1
0x00007f3586087f28	0	2	0	0	2	0	2
0x00007f3585db7ede	1	0	1	0	0	0	1
0x00007f3585db7edf	1	0	1	0	0	0	1
0x00007f3585db7ee0	1	0	1	0	0	0	1
0x00007f3585db7ee1	1	0	1	0	0	0	1
0x00007f3585db7ee2	1	0	1	0	0	0	1
0x00007f3585db7ee3	1	0	1	0	0	0	1
0x00007f3585db7ee4	1	0	1	0	0	0	1
0x00007f3585db7ee5	1	0	1	0	0	0	1
0x00007f3586087f30	0	2	0	0	2	0	2
0x00007f3585db7ee6	1	0	1	0	0	0	1
0x00007f3585db7ee7	1	0	1	0	0	0	1
0x00007f3585db7ee8	1	0	1	0	0	0	1
0x00007f3585db7ee9	1	0	1	0	0	0	1
0x00007f3585db7eea	1	0	1	0	0	0	1
0x00007f3585db7eeb	1	0	1	0	0	0	1
0x00007f3585db7eec	1	0	1	0	0	0	1
0x00007f3585d87ee8	1	0	1	0	0	0	1
0x00007f3585db7eed	1	0	1	0	0	0	1
0x00007f3586087f38	0	2	0	0	2	0	2
0x00007f3585db7eee	1	0	1	0	0	0	1
0x00007f3585db7eef	1	0	1	0	0	0	1
0x00007f3585db7ef0	1	0	1	0	0	0	1
0x00007f3585d87eec	4	0	4	0	0	0	4
0x00007f3585db7ef1	1	0	1	0	0	0	1
0x00007f3585d87eed	1	0	1	0	0	0	1
0x00007f3585db7ef2	1	0	1	0	0	0	1
0x00007f3585d87eee	1	0	1	0	0	0	1
0x00007f3585db7ef3	1	0	1	0	0	0	1
0x00007f3585db7ef4	1	0	1	0	0	0	1
0x00007f3585d87ef0	2	0	2	0	0	0	2
0x00007f3585db7ef5	1	0	1	0	0	0	1
0x00007f3586087f40	0	2	0	0	2	0	2
0x00007f3585db7ef6	1	0	1	0	0	0	1
0x00007f3585db7ef7	1	0	1	0	0	0	1
0x00007f3585db7ef8	1	0	1	0	0	0	1
0x00007f3585db7ef9	1	0	1	0	0	0	1
0x00007f3585db7efa	1	0	1	0	0	0	1
0x00007f3585db7efb	1	0	1	0	0	0	1
0x00007f3585db7efc	1	0	1	0	0	0	1
0x00007f3585db7efd	1	0	1	0	0	0	1
0x00007f3586087f48	0	2	0	0	2	0	2
0x00007f3585db7efe	1	0	1	0	0	0	1
0x00007f3585db7eff	1	0	1	0	0	0	1
0x00007f3585db7f00	1	0	1	0	0	0	1
0x00007f3585db7f01	1	0	1	0	0	0	1
0x00007f3585db7f02	1	0	1	0	0	0	1
0x00007f3585db7f03	1	0	1	0	0	0	1
0x00007f3585db7f04	1	0	1	0	0	0	1
0x00007f3585db7f05	1	0	1	0	0	0	1
0x00007f3586087f50	0	2	0	0	2	0	2
0x00007f3585db7f06	1	0	1	0	0	0	1
0x00007f3585db7f07	1	0	1	0	0	0	1
0x00007f3585db7f08	1	0	1	0	0	0	1
0x00007f3585db7f09	1	0	1	0	0	0	1
0x00007f3585db7f0a	1	0	1	0	0	0	1
0x00007f3585db7f0b	1	0	1	0	0	0	1
0x00007f3585db7f0c	1	0	1	0	0	0	1
0x00007f3585db7f0d	1	0	1	0	0	0	1
0x00007f3586087f58	0	2	0	0	2	0	2
0x00007f3585db7f0e	1	0	1	0	0	0	1
0x00007f3585db7f0f	1	0	1	0	0	0	1
0x00007f3585db7f10	1	0	1	0	0	0	1
0x00007f3585db7f11	1	0	1	0	0	0	1
0x00007f3585db7f12	1	0	1	0	0	0	1
0x00007f3585db7f13	1	0	1	0	0	0	1
0x00007f3585db7f14	1	0	1	0	0	0	1
