+ Processor: 1 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                137612061      87.1139        1336119542     24.4125   
+ Load-Misses:             20355831       12.8861        4136983327     75.5875   
+ Load-Total Accesses:     157967892      100            5473102869     100       

+ Store-Hits               129063498      95.9398        1290634792     53.4122   
+ Store-Misses:            5461972        4.06018        1125732793     46.5878   
+ Store-Total Accesses:    134525470      100            2416367585     100       

+ Total-Hits:              266675559      91.1732        2626754334     33.2944   
+ Total-Misses:            25817803       8.8268         5262716120     66.7056   

+ Estimated Cost:          292493362      100            7889470454     100       


+ Processor: 2 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                143414296      84.5875        1372797748     20.8565   
+ Load-Misses:             26131153       15.4125        5209315563     79.1435   
+ Load-Total Accesses:     169545449      100            6582113311     100       

+ Store-Hits               130227768      95.6781        1302277588     51.766    
+ Store-Misses:            5882492        4.32186        1213421238     48.234    
+ Store-Total Accesses:    136110260      100            2515698826     100       

+ Total-Hits:              273642064      89.5262        2675075336     29.4035   
+ Total-Misses:            32013645       10.4738        6422736801     70.5965   

+ Estimated Cost:          305655709      100            9097812137     100       


+ Processor: 3 L1 Data Cache
+                          Count          %              Cycles         %         
+ Load-Hits                143797659      84.5908        1091775818     17.3748   
+ Load-Misses:             26194450       15.4092        5191890841     82.6252   
+ Load-Total Accesses:     169992109      100            6283666659     100       

+ Store-Hits               131069854      95.8333        1034018576     47.0203   
+ Store-Misses:            5698714        4.16668        1165070352     52.9797   
+ Store-Total Accesses:    136768568      100            2199088928     100       

+ Total-Hits:              274867513      89.6032        2125794394     25.0602   
+ Total-Misses:            31893164       10.3968        6356961193     74.9398   

+ Estimated Cost:          306760677      100            8482755587     100       


Memory Stats:
Addr 	 Loads 	 Stores 	 LHIS 	 LMISS 	 SHIT 	 SMISS
0x00007f3585db7f15	1	0	1	0	0	0	1
0x00007f3586087f60	0	2	0	0	2	0	2
0x00007f3585db7f16	1	0	1	0	0	0	1
0x00007f3585db7f17	1	0	1	0	0	0	1
0x00007f3585db7f18	1	0	1	0	0	0	1
0x00007f3585d87f18	1	0	1	0	0	0	1
0x00007f3586087f68	0	2	0	0	2	0	2
0x00007f3585d87f1c	32	0	32	0	0	0	32
0x00007f3585d87f1d	1	0	1	0	0	0	1
0x00007f3585d87f1e	1	0	1	0	0	0	1
0x00007f3585d87f20	16	0	16	0	0	0	16
0x00007f3586087f70	0	2	0	0	2	0	2
0x00007f3586087f78	0	2	0	0	2	0	2
0x00007f3586087f80	0	2	0	0	2	0	2
0x00007f3586087f88	0	2	0	0	2	0	2
0x00007f3586087f90	0	2	0	0	2	0	2
0x00007f3586087f98	0	2	0	0	2	0	2
0x00007f3586087fa0	0	2	0	0	2	0	2
0x00007f3586087fa8	0	1	0	0	1	0	1
0x00007f3586087fc0	0	1	0	0	1	0	1
0x00007f3585d87f78	1	0	1	0	0	0	1
0x00007f3586087fc8	0	1	0	0	1	0	1
0x00007f3585d87f7c	8	0	8	0	0	0	8
0x00007f3585d87f7d	1	0	1	0	0	0	1
0x00007f3585d87f7e	1	0	1	0	0	0	1
0x00007f3585d87f80	4	0	4	0	0	0	4
0x00007f3586087fd0	0	2	0	0	2	0	2
0x00007f3586087fd8	0	2	0	0	2	0	2
0x00007f3585d87f90	1	0	1	0	0	0	1
0x00007f3586087fe0	0	2	0	0	2	0	2
0x00007f3586087fe1	0	2	0	0	2	0	2
0x00007f3586087fe2	0	2	0	0	2	0	2
0x00007f3585d87f94	4	0	4	0	0	0	4
0x00007f3585d87f95	1	0	1	0	0	0	1
0x00007f3585d87f96	1	0	1	0	0	0	1
0x00007f3585d87f98	2	0	2	0	0	0	2
0x00007f3586087fe8	0	2	0	0	2	0	2
0x00007f3586087ff0	0	2	0	0	2	0	2
0x00007f3586087ff8	0	2	0	0	2	0	2
0x00007f3586088000	0	2	0	0	2	0	2
0x00007f3586088008	0	2	0	0	2	0	2
0x00007f3586088010	0	2	0	0	2	0	2
0x00007f3586088018	0	2	0	0	2	0	2
0x00007f358608801c	0	2	0	0	2	0	2
0x00007f358608801d	0	1	0	0	1	0	1
0x00007f358608801e	0	1	0	0	1	0	1
0x00007f358608801f	0	1	0	0	1	0	1
0x00007f3586088020	0	2	0	0	2	0	2
0x00007f3586088021	0	1	0	0	1	0	1
0x00007f3586088022	0	1	0	0	1	0	1
0x00007f3586088023	0	1	0	0	1	0	1
0x00007f3586088024	0	1	0	0	1	0	1
0x00007f3586088025	0	1	0	0	1	0	1
0x00007f3586088026	0	1	0	0	1	0	1
0x00007f3586088027	0	1	0	0	1	0	1
0x00007f3585d87fd8	1	0	1	0	0	0	1
0x00007f3586088028	0	1	0	0	1	0	1
0x00007f3586088029	0	1	0	0	1	0	1
0x00007f358608802a	0	1	0	0	1	0	1
0x00007f358608802b	0	1	0	0	1	0	1
0x00007f3585d87fdc	4	0	4	0	0	0	4
0x00007f358608802c	0	1	0	0	1	0	1
0x00007f3585d87fdd	1	0	1	0	0	0	1
0x00007f358608802d	0	1	0	0	1	0	1
0x00007f3585d87fde	1	0	1	0	0	0	1
0x00007f358608802e	0	1	0	0	1	0	1
0x00007f358608802f	0	1	0	0	1	0	1
0x00007f3585d87fe0	2	0	2	0	0	0	2
0x00007f3586088040	0	1	0	0	1	0	1
0x00007f3586088048	0	1	0	0	1	0	1
0x00007f3586088050	0	2	0	0	2	0	2
0x00007f3586088058	0	2	0	0	2	0	2
0x00007f3586088060	0	2	0	0	2	0	2
0x00007f3586088061	0	2	0	0	2	0	2
0x00007f3586088062	0	2	0	0	2	0	2
0x00007f3585db8018	1	0	1	0	0	0	1
0x00007f3585db8019	1	0	1	0	0	0	1
0x00007f3585db801a	1	0	1	0	0	0	1
0x00007f3585db801b	1	0	1	0	0	0	1
0x00007f3585db801c	1	0	1	0	0	0	1
0x00007f3585db801d	1	0	1	0	0	0	1
0x00007f3586088068	0	2	0	0	2	0	2
0x00007f3585db801e	1	0	1	0	0	0	1
0x00007f3585db801f	1	0	1	0	0	0	1
0x00007f3585db8020	1	0	1	0	0	0	1
0x00007f3585db8021	1	0	1	0	0	0	1
0x00007f3585db8022	1	0	1	0	0	0	1
0x00007f3585db8023	1	0	1	0	0	0	1
0x00007f3585db8024	1	0	1	0	0	0	1
0x00007f3585db8025	1	0	1	0	0	0	1
0x00007f3586088070	0	2	0	0	2	0	2
0x00007f3585db8026	1	0	1	0	0	0	1
0x00007f3585db8027	1	0	1	0	0	0	1
0x00007f3585db8028	1	0	1	0	0	0	1
0x00007f3585db8029	1	0	1	0	0	0	1
0x00007f3585db802a	1	0	1	0	0	0	1
0x00007f3585db802b	1	0	1	0	0	0	1
0x00007f3585db802c	1	0	1	0	0	0	1
0x00007f3585db802d	1	0	1	0	0	0	1
0x00007f3586088078	0	2	0	0	2	0	2
0x00007f3585db802e	1	0	1	0	0	0	1
